country_code,region_code,name_slug,name,name_normalized,osm_relation_id,wikidata_id,is_capital,lon,lat
br,pi,matias-olimpio,Matias Olímpio,Matias Olimpio,302655,Q1894372,,-42.5586289,-3.711027283
br,pi,miguel-alves,Miguel Alves,Miguel Alves,302827,Q677160,,-42.89316665,-4.168215582
br,pi,miguel-leao,Miguel Leão,Miguel Leao,302793,Q2078472,,-42.73582953,-5.68224178
br,pi,milton-brandao,Milton Brandão,Milton Brandao,302825,Q1938844,,-41.44795954,-4.699953478
br,pi,monsenhor-gil,Monsenhor Gil,Monsenhor Gil,302860,Q1935712,,-42.61739892,-5.551485631
br,pi,monsenhor-hipolito,Monsenhor Hipólito,Monsenhor Hipolito,302816,Q2060311,,-41.0328934,-7.003502473
br,pi,monte-alegre-do-piaui,Monte Alegre do Piauí,Monte Alegre do Piaui,302659,Q1938896,,-45.29574022,-9.755833668
br,pi,morro-cabeca-no-tempo,Morro Cabeça no Tempo,Morro Cabeca no Tempo,302835,Q2098784,,-43.90187437,-9.719319492
br,pi,morro-do-chapeu-do-piaui,Morro do Chapéu do Piauí,Morro do Chapeu do Piaui,302797,Q2064135,,-42.3090634,-3.742255096
br,pi,murici-dos-portelas,Murici dos Portelas,Murici dos Portelas,302839,Q2078394,,-42.09676908,-3.323859785
br,pi,nazare-do-piaui,Nazaré do Piauí,Nazare do Piaui,302809,Q939833,,-42.66822723,-6.967128491
br,pi,nazaria,Nazária,Nazaria,2706907,Q10335889,,-42.81404847,-5.346925
br,pi,nossa-senhora-de-nazare,Nossa Senhora de Nazaré,Nossa Senhora de Nazare,302680,Q963907,,-42.17930308,-4.626932092
br,pi,nossa-senhora-dos-remedios,Nossa Senhora dos Remédios,Nossa Senhora dos Remedios,302657,Q2104808,,-42.62395105,-3.991225352
br,pi,novo-oriente-do-piaui,Novo Oriente do Piauí,Novo Oriente do Piaui,302720,Q2077697,,-41.92872231,-6.449405137
br,pi,novo-santo-antonio,Novo Santo Antônio,Novo Santo Antonio,302862,Q2169201,,-41.9345075,-5.286057644
br,pi,oeiras,Oeiras,Oeiras,302701,Q2077764,,-42.13140566,-7.016418006
br,pi,olho-dagua-do-casado,Olho d'Água do Piauí,Olho d'Agua do Piaui,302842,Q1940465,,-42.57855161,-5.847158573
br,pi,padre-marcos,Padre Marcos,Padre Marcos,302739,Q2066171,,-40.90586208,-7.354712116
br,pi,paes-landim,Paes Landim,Paes Landim,302820,Q2078986,,-42.25695763,-7.775562915
br,pi,pajeu-do-piaui,Pajeú do Piauí,Pajeu do Piaui,302776,Q519387,,-42.81693609,-7.852520092
br,pi,palmeira-do-piaui,Palmeira do Piauí,Palmeira do Piaui,302675,Q1936298,,-44.23256858,-8.729501119
br,pi,palmeirais,Palmeirais,Palmeirais,302811,Q2064013,,-43.06184352,-5.979796836
br,pi,paqueta,Paquetá,Paqueta,302727,Q2065325,,-41.70138525,-7.101466244
br,pi,parnagua,Parnaguá,Parnagua,302821,Q2089339,,-44.63431461,-10.21718097
br,pi,parnaiba,Parnaíba,Parnaiba,302702,Q1643864,,-41.77817059,-2.903360145
br,pi,passagem-franca-do-piaui,Passagem Franca do Piauí,Passagem Franca do Piaui,302734,Q1937308,,-42.44052675,-5.85624732
br,pi,patos-do-piaui,Patos do Piauí,Patos do Piaui,302764,Q1940449,,-41.2522814,-7.680763935
br,pi,pau-darco-do-piaui,Pau d'Arco do Piauí,Pau d'Arco do Piaui,302794,Q1933647,,-42.3888655,-5.251093429
br,pi,paulistana,Paulistana,Paulistana,302692,Q2064687,,-41.14709649,-8.141436135
br,pi,pavussu,Pavussu,Pavussu,302660,Q2089236,,-43.2217523,-7.964286955
br,pi,pedro-ii,Pedro II,Pedro II,302824,Q1934329,,-41.45855993,-4.427055265
br,pi,pedro-laurentino,Pedro Laurentino,Pedro Laurentino,302707,Q1938919,,-42.28607367,-8.066882594
br,pi,nova-santa-rita,Nova Santa Rita,Nova Santa Rita,302789,Q2103222,,-42.048262,-8.074964718
br,pi,picos,Picos,Picos,302661,Q1810825,,-41.46882671,-7.081373912
br,pi,pimenteiras,Pimenteiras,Pimenteiras,302687,Q2077685,,-41.41515861,-6.24168841
br,pi,pio-ix,Pio IX,Pio IX,302705,Q2089220,,-40.61827279,-6.832687301
br,pi,piracuruca,Piracuruca,Piracuruca,302775,Q2063996,,-41.70904155,-3.929287494
br,pi,piripiri,Piripiri,Piripiri,302698,Q996763,,-41.77850485,-4.276068693
br,pi,porto,Porto,Porto,302731,Q2113232,,-42.710926,-3.891422995
br,pi,porto-alegre-do-piaui,Porto Alegre do Piauí,Porto Alegre do Piaui,302714,Q1935805,,-44.1948371,-6.971724687
br,pi,prata-do-piaui,Prata do Piauí,Prata do Piaui,302772,Q2042707,,-42.20422368,-5.664797694
br,pi,queimada-nova,Queimada Nova,Queimada Nova,302681,Q1938832,,-41.41702492,-8.585425347
br,pi,redencao-do-gurgueia,Redenção do Gurguéia,Redencao do Gurgueia,302699,Q1848362,,-44.58121416,-9.493448241
br,pi,regeneracao,Regeneração,Regeneracao,302838,Q1879913,,-42.68502423,-6.240183021
br,pi,riacho-frio,Riacho Frio,Riacho Frio,302646,Q1936273,,-44.95253005,-10.12872769
br,pi,ribeira-do-piaui,Ribeira do Piauí,Ribeira do Piaui,302836,Q521452,,-42.71404349,-7.690575501
br,pi,ribeiro-goncalves,Ribeiro Gonçalves,Ribeiro Goncalves,302777,Q2064254,,-45.24563868,-7.558034245
br,pi,rio-grande-do-piaui,Rio Grande do Piauí,Rio Grande do Piaui,302722,Q629855,,-43.14018279,-7.77085712
br,pi,santa-cruz-do-piaui,Santa Cruz do Piauí,Santa Cruz do Piaui,302829,Q1937333,,-41.76192569,-7.177626496
br,pi,santa-cruz-dos-milagres,Santa Cruz dos Milagres,Santa Cruz dos Milagres,302673,Q2077726,,-41.95844595,-5.808120998
br,pi,santa-filomena,Santa Filomena,Santa Filomena,302866,Q2340263,,-45.92055644,-9.106795705
br,pi,santa-luz,Santa Luz,Santa Luz,302753,Q1938964,,-44.12958591,-8.944624217
br,pi,santana-do-piaui,Santana do Piauí,Santana do Piaui,302648,Q1938905,,-41.51848056,-6.949071764
